,rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z,class,subject,trial
0,0.316738,0.77818,1.0827639999999998,0.294894,-0.184493,0.377542,dws,1,1
1,0.842032,0.424446,0.643574,0.219405,0.0358459999999999,0.114866,dws,1,1
2,-0.138143,-0.040741,0.343563,0.010714,0.134701,-0.1678079999999999,dws,1,1
3,-0.025005,-1.048717,0.03586,-0.008389,0.136788,0.094958,dws,1,1
4,0.114253,-0.91289,0.047341,0.199441,0.353996,-0.044299,dws,1,1
5,0.187742,-0.763656,0.226057,0.168241,0.145906,0.0124549999999999,dws,1,1
6,0.343096,-0.80382,0.278468,0.079382,-0.026344,-0.19559,dws,1,1
7,0.176202,-0.172756,0.056415,0.06936,0.0726779999999999,-0.10292,dws,1,1
8,0.274786,0.446585,-0.132766,0.072889,0.079921,-0.075323,dws,1,1
9,0.633672,0.316372,-0.1151369999999999,0.098347,-0.017021,-0.1973099999999999,dws,1,1
10,0.865711,0.179274,-0.130432,-0.0176,-0.119279,-0.154231,dws,1,1
11,1.010791,-0.662185,-0.017245,-0.090762,-0.104989,-0.196168,dws,1,1
12,1.233366,-1.834122,0.089429,-0.022256,-0.090728,-0.068734,dws,1,1
13,1.183222,-2.790427,0.32104,-0.005088,-0.097982,0.1255099999999999,dws,1,1
14,1.145214,-3.434572,0.536324,0.058954,-0.040995,0.1655319999999999,dws,1,1
15,1.251651,-3.644069,0.620658,0.083052,0.114295,0.1230859999999999,dws,1,1
16,0.600647,-3.449093,0.379781,-0.021313,0.244726,0.370255,dws,1,1
17,-0.031705,-2.780694,0.017706,-0.269154,0.158627,0.45006,dws,1,1
18,-0.2861889999999999,-2.203564,-0.2315699999999999,-0.437267,0.051949,0.252811,dws,1,1
19,-0.63246,-1.355699,-0.4401739999999999,-0.3839329999999999,-0.0341,0.299583,dws,1,1
20,-0.688157,-0.150945,-0.37374,-0.276871,-0.0100439999999999,0.368135,dws,1,1
21,-1.080752,1.072168,-0.343867,-0.2070179999999999,0.034551,0.142982,dws,1,1
22,-1.7610439999999998,1.7122080000000002,-0.5053989999999999,-0.248057,-0.071764,0.062476,dws,1,1
23,-1.942253,2.245388,-0.483847,-0.252744,-0.1098809999999999,0.048285,dws,1,1
24,-1.890273,3.203544,-0.6470819999999999,-0.2025269999999999,-0.0565429999999999,-0.139479,dws,1,1
25,-2.378386,3.5353510000000004,-1.148708,0.012835,0.131904,-0.321589,dws,1,1
26,-3.073846,3.1962580000000003,-1.527009,0.434857,0.520213,-0.468112,dws,1,1
27,-2.689446,0.6503260000000001,-0.814967,0.481304,0.394734,-0.54813,dws,1,1
28,-1.071424,-2.076484,0.370601,0.388906,-0.14135,-0.605554,dws,1,1
29,0.238801,-1.324572,0.8755120000000001,0.012241,-0.56921,-0.6271760000000001,dws,1,1
30,0.6028859999999999,1.096871,1.340697,-0.260615,-0.703785,-0.0426029999999999,dws,1,1
31,-0.074176,2.732446,0.502796,-0.390943,-0.381412,0.3871719999999999,dws,1,1
32,-0.975081,2.029278,-0.823987,-0.365612,0.4369399999999999,0.579142,dws,1,1
33,-0.720561,1.708834,-0.563289,-0.382505,1.362684,0.6573220000000001,dws,1,1
