rotationRate.x,rotationRate.y,rotationRate.z,userAcceleration.x,userAcceleration.y,userAcceleration.z,class
0.4198913,0.111421816,1.3986545,-2.4750999999999994,6.1612,-0.0477,walking
0.44298202,-0.25321236,1.1803488,-0.1778,6.938599600000001,2.7640998,walking
-0.13552481,-2.3427556,2.5837855,-2.1756,4.2613,0.654,walking
0.5291838,-2.2856832,2.5057867,-1.3027998999999997,1.6308999,0.9994999999999999,walking
0.7239975,-0.59749603,2.6167548,-0.8535999699999995,0.3247999799999995,0.48779999999999996,walking
0.48019242,-1.1697546,2.3744507,-0.6785999499999995,0.2962,0.5915,walking
0.66533697,-1.5208974,2.1476626,-0.5638999999999995,0.7094,-0.2532,walking
0.8980068,-0.9201201,1.6015664,-0.67109996,-0.0139,-0.15689999,walking
0.73663366,-0.1944995,0.99598956,-0.4976999799999995,-6.0593,0.3525,walking
0.4317421,0.13779375,0.5146452,0.5815,-2.1132,1.5442,walking
0.25736624,-0.03403392,0.26686084,0.7166,-1.8729999,-0.1574,walking
0.3042807,-0.015969763,0.18168877,1.0412999,-1.3713999999999995,-1.2547,walking
0.31066862,0.21542598,0.012636184,1.3722,-0.41329998,0.6637,walking
0.32719687,0.22153464,-0.0389732,1.8506999,0.1112,0.75229996,walking
0.21387264,0.045343652,0.0845612,1.0318,0.28559999999999997,0.2218999999999995,walking
0.1685988,0.3981794,0.06443755,0.83269995,-0.7089999999999995,-0.8244,walking
0.15992452,0.4056669,0.08908161,0.117199995,-2.7977,-1.1632,walking
0.34948474,0.3683343,0.1327672,0.9909999999999999,-3.2591,-0.8081,walking
0.55887187,0.5469338,0.1275312,0.50049996,-3.4668,-0.5248999599999999,walking
0.55260617,0.44729298,0.09456194,0.93509996,-0.40629998,-0.5225999999999995,walking
0.44221407,0.3440044,0.2984164,-0.0221,-0.1797,-0.7876,walking
0.30653217,0.2496868,0.3676187,0.28449999999999953,2.2835999,-0.83769995,walking
0.2107136,0.22190116,0.37561232,0.96159995,1.7382,-0.96019995,walking
0.10793116,0.2550624,0.32449162,-0.0622,-2.6712999999999996,0.84099996,walking
-0.081210166,0.40224603,0.2713289,0.37260000000000004,-2.3125,0.22249999999999998,walking
-0.4651826,0.39430478,0.31812117,0.0431,-1.7677,-0.5883,walking
-1.0019063,0.17378244,0.48940778,0.5891,-2.042,-1.9282999,walking
-1.7388017,-0.24839526,0.6920405,1.4383999,-2.7707000000000006,-2.6492,walking
-2.4206495,-0.6007074,0.7535983,1.7965,-2.9271998,-3.7754998,walking
-2.7824562,-0.5580516,0.4885351,2.076,-2.3837999999999995,-4.5973997,walking
-2.97158,-0.35814157,-0.0023387412,1.6796,-1.6877999,-4.9845,walking
-2.8608215,-0.062849306,-0.22963297,1.3345000000000002,-1.9145,-5.3557997,walking
-2.4734108,0.16816248,-0.51094514,1.375,-2.5498,-4.9979000000000005,walking
-2.1158977,0.21776474,-0.78431606,1.7648,-2.5431999999999997,-4.4736,walking
-2.1360385,-0.26450464,-0.8880061,1.8151000000000002,-1.7062999,-1.6406999999999998,walking
-2.337921,-0.73401564,-0.84377944,2.1225,-0.3209,-0.06559999999999999,walking
-2.4915972,-1.1895641,-0.67640233,0.4337999799999995,-0.025699999999999997,1.2093999,walking
-2.5949032,-1.475641,-0.43306854,-0.7424999999999999,-1.7263000000000002,1.4593999,walking
-2.504181,-1.5044389,-0.23994787,-0.36260000000000003,-3.3711,1.6158998999999998,walking
-2.3534718,-1.6148484,-0.21547835,-0.2656,-4.2643,0.5956,walking
-2.1931808,-1.8386345,-0.2265961,-0.3313,-4.0443997,0.71199995,walking
-1.9945099,-2.177979,-0.2684491,-0.0235,-2.7213,1.9715999000000002,walking
-1.6040448,-1.9457978,-0.22780037,-0.12409999999999999,-2.1115999999999997,1.5532999,walking
-1.1631572,-1.5671661,-0.19676842,-0.19269999999999998,-1.4064999999999999,2.2984,walking
-0.68069583,-1.1990237,-0.20373228,-0.2638999799999995,-0.5891,2.4306,walking
-0.24013986,-0.7587993,-0.22415264,-0.40359998,-0.1635,2.7035,walking
0.19207348,-0.49506265,-0.303984,-0.31169999999999953,-0.0334,2.8937,walking
0.6576052,-0.16395622,-0.35149187,-0.38760000000000006,0.74329996,3.7652,walking
1.0661169,0.11887438,-0.36618754,-1.0221,1.0889,5.4746,walking
1.3350548,0.19833921,-0.32272884,-0.6127,2.6236000000000006,5.231599999999999,walking
1.4318856,0.068190016,-0.23499113,-0.43649998,3.6128,5.4143,walking
1.4356205,-0.1552645,-0.095870934,-0.1802999999999995,4.0533,4.6408,walking
1.2684529,-0.16341518,0.028605945,0.2004,4.2868,4.3403,walking
0.9092642,-0.26450464,0.108367495,-0.0625,4.0077,3.3732,walking
0.56553906,-0.51462775,0.19608775,-0.5735,3.2179,1.8436999,walking
0.15203562,-0.69355893,0.20457004,-0.9683999999999999,2.0051999999999994,0.1689,walking
-0.16545722,-0.7830769,-0.031363565,-0.9909999999999999,0.5364999999999995,-0.9032,walking
-0.12981759,-0.580479,-0.23345524,-0.34959999999999997,-0.23709998999999998,-1.6567,walking
0.25160667,-0.13210396,-0.37515852,-0.8320999999999995,-1.0820999,-2.1966999,walking
0.6368881,0.10416125,-0.42203808,-1.7242999,-1.6976,-3.6023998,walking
1.0105805,0.45472807,-0.23453735,-3.0045997999999994,-3.2577,-4.252,walking
1.1228402,0.7489906,0.028204521,-3.0507,-4.8152,-4.1888,walking
0.38344884,0.33117622,0.1168847,-1.7948999999999995,-3.2150998,-2.8594,walking
0.31557298,1.5599928,-0.091821775,-1.5065,0.20539999,-0.5169,walking
1.0402861,2.30832,-0.34414402,-1.4346,2.6661,1.7874,walking
1.5789994,1.307496,-0.34883896,-2.8604999,1.7565998999999999,2.2277999999999993,walking
1.6388468,0.99108523,-0.40071014,-3.6831000000000005,-2.0376,2.9015000000000004,walking
1.5478976,1.1681314,-0.61023694,-3.6808,-5.4929,1.4205999,walking
1.4554999,1.1325266,-0.6721088,-0.3338,-4.4242,-2.3167999,walking
1.2356408,0.90954345,-0.47315875,2.9868,1.41,8.6445,walking
1.1935434,0.83547163,-0.14746287,3.0771000000000006,4.6495,7.618200000000001,walking
1.2870581,0.7842288,0.088610366,2.3727,2.4081999999999995,3.8102,walking
1.2610703,0.8829097,0.11173598,3.6118,-1.0734999,3.3138999999999994,walking
1.2151855,0.8249997,0.016929694,3.8028998000000005,-2.8439999,3.6437,walking
1.167922,0.90771085,-0.10718067,1.411,-1.8582999999999998,2.3609,walking
1.219671,0.97809994,-0.16100663,-1.3383999999999998,-0.3655999999999995,1.275,walking
1.2270188,0.82632613,-0.1813048,-2.5558999,0.6262999999999995,1.5950999,walking
1.1059803,0.6669078,-0.14245377,-1.076,0.801,1.6643,walking
0.99440134,0.58880424,-0.08461356,0.54289997,0.62759995,1.4052,walking
0.9473473,0.5470909,-0.04448844,1.785,0.5888999699999999,0.8853,walking
0.89798933,0.58014745,0.00726057,1.7778,0.4985,0.54609996,walking
0.94767886,0.57114154,0.047944196,1.7364,0.22839999,0.12709999,walking
1.0478957,0.49916416,0.040282197,1.4001999999999994,-0.1462,-0.8066,walking
1.0675656,0.8155051,0.097022854,1.1879999999999995,-0.2802,-1.1977998999999995,walking
0.98677427,0.8029387,0.07030186,0.5744,-0.057099998,-1.1749999999999998,walking
0.91226614,0.72031486,0.1603434,0.25759998,0.25849997999999996,-1.3849,walking
0.7343298,0.7638957,0.3765199,0.5399999599999995,0.48279997999999996,-1.3314998999999998,walking
0.6102893,0.7262315,0.47895324,0.83349997,0.617,-0.6328,walking
0.6019815,0.80688316,0.46711993,1.0590999999999995,0.45119998,-0.0385,walking
0.6089803,0.7611206,0.35480797,1.156,0.32849999999999996,0.4279,walking
0.52227235,0.69427454,0.27204448,0.1661,-0.2507,-0.29999998,walking
0.22081906,0.7564781,0.35784486,-1.1200999999999999,-0.69409996,-0.5891999599999995,walking
-0.32056463,0.5465848,0.5885076,-0.1921999899999995,-0.9242,-0.8146,walking
-1.0657679,0.0038571777,0.69746846,1.3391999999999995,-1.7428,0.1638,walking
-2.0245295,-0.588909,0.67277205,2.7817,-2.5611,-0.1855,walking
-2.749522,-0.7799353,0.4407829,2.3820999,-3.0767999,-2.2544,walking
-3.2019985,-0.5540548,0.22195353,1.2933998999999998,-3.2977998,-3.9496998999999997,walking
